Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-22-01.096,0.973,0.146,0.143,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.260,0.104,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.116,0.973,0.147,0.143,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.260,0.104,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.138,0.973,0.147,0.144,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.261,0.104,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.156,0.973,0.147,0.143,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.259,0.105,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.178,0.973,0.146,0.142,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.258,0.104,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.197,0.973,0.146,0.142,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.258,0.104,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.217,0.973,0.147,0.141,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.258,0.104,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.237,0.973,0.147,0.141,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.258,0.104,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.257,0.973,0.148,0.141,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.258,0.104,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.277,0.974,0.148,0.140,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.258,0.104,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.297,0.973,0.147,0.140,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.258,0.104,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.317,0.974,0.147,0.140,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.258,0.104,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.337,0.974,0.147,0.140,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.258,0.103,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.357,0.974,0.147,0.140,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.258,0.103,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.377,0.974,0.148,0.140,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.257,0.103,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.397,0.974,0.148,0.140,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.257,0.103,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.417,0.974,0.147,0.138,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.257,0.102,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.437,0.974,0.146,0.137,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,-0.256,0.101,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.457,0.975,0.145,0.136,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,-0.256,0.100,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.477,0.976,0.145,0.135,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.255,0.099,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.495,0.976,0.144,0.134,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.254,0.096,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.517,0.977,0.143,0.131,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.253,0.093,-0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.537,0.979,0.141,0.128,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,-0.253,0.089,-0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.557,0.980,0.139,0.125,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.252,0.087,-0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.577,0.981,0.137,0.121,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.251,0.084,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.597,0.982,0.135,0.116,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.251,0.081,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.617,0.983,0.132,0.111,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,-0.250,0.077,-0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.637,0.984,0.129,0.106,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,-0.249,0.075,-0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.657,0.986,0.127,0.101,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.247,0.068,-0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.677,0.986,0.125,0.095,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.246,0.063,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.697,0.987,0.123,0.088,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,-0.244,0.057,-0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.717,0.988,0.120,0.082,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,-0.241,0.050,-0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.738,0.989,0.116,0.075,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,-0.240,0.044,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.758,0.990,0.112,0.068,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,-0.239,0.038,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.777,0.991,0.108,0.061,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,-0.237,0.032,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.797,0.992,0.105,0.054,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,-0.235,0.025,-0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.817,0.992,0.104,0.050,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.234,0.019,-0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.836,0.993,0.101,0.040,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.233,0.013,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.856,0.994,0.097,0.033,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.230,0.007,-0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.876,0.994,0.094,0.025,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.229,0.004,-0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.896,0.995,0.091,0.018,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.226,-0.005,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.916,0.995,0.089,0.011,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.225,-0.011,-0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.936,0.995,0.085,0.004,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.223,-0.017,-0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.956,0.996,0.081,-0.003,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.220,-0.023,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.976,0.996,0.078,-0.010,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.219,-0.029,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-01.996,0.996,0.074,-0.017,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.217,-0.035,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.016,0.996,0.072,-0.023,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.215,-0.041,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.038,0.996,0.070,-0.030,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.213,-0.047,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.057,0.996,0.066,-0.036,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.975,-0.210,-0.054,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.077,0.996,0.062,-0.043,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.975,-0.206,-0.061,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.097,0.996,0.059,-0.049,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.975,-0.203,-0.067,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.117,0.996,0.056,-0.056,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,-0.198,-0.073,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.137,0.996,0.052,-0.062,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,-0.190,-0.080,-0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.157,0.996,0.048,-0.069,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.978,-0.187,-0.083,-0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.177,0.996,0.044,-0.076,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.978,-0.183,-0.094,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.197,0.995,0.040,-0.083,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,-0.181,-0.101,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.216,0.995,0.037,-0.090,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,-0.178,-0.109,-0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.236,0.994,0.034,-0.097,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,-0.175,-0.116,-0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.257,0.994,0.031,-0.104,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,-0.172,-0.124,-0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.274,0.993,0.028,-0.111,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,-0.169,-0.131,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.297,0.992,0.025,-0.119,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,-0.166,-0.139,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.317,0.992,0.022,-0.126,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,-0.163,-0.147,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.337,0.991,0.020,-0.133,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.975,-0.162,-0.154,-0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.357,0.990,0.018,-0.141,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.159,-0.162,-0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.376,0.989,0.016,-0.149,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,-0.155,-0.170,-0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.397,0.988,0.014,-0.156,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.151,-0.178,-0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.417,0.986,0.012,-0.164,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.150,-0.186,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.437,0.985,0.011,-0.171,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,-0.148,-0.195,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.457,0.984,0.011,-0.178,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,-0.148,-0.204,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.477,0.983,0.011,-0.185,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.148,-0.212,-0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.497,0.981,0.010,-0.193,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.146,-0.221,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.517,0.980,0.010,-0.200,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.965,-0.144,-0.229,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.536,0.978,0.009,-0.208,-0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.143,-0.238,-0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.556,0.977,0.008,-0.216,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.142,-0.246,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.576,0.975,0.007,-0.223,-0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.140,-0.254,-0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.596,0.973,0.005,-0.231,-0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.958,-0.139,-0.262,-0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.616,0.971,0.005,-0.238,-0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956,-0.141,-0.270,-0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.636,0.969,0.005,-0.246,-0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.144,-0.276,-0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.656,0.968,0.005,-0.253,-0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.143,-0.283,-0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.676,0.966,0.005,-0.259,-0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.141,-0.290,-0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.698,0.964,0.005,-0.266,-0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.139,-0.296,-0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.718,0.962,0.005,-0.273,-0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.138,-0.303,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.738,0.960,0.006,-0.280,-0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.138,-0.309,-0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.758,0.958,0.006,-0.287,-0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,-0.138,-0.315,-0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.778,0.956,0.005,-0.293,-0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.942,-0.137,-0.321,-0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.798,0.953,0.004,-0.300,-0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,-0.137,-0.327,-0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.818,0.951,0.004,-0.306,-0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.938,-0.137,-0.333,-0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-02.837,0.949,0.003,-0.313,-0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.136,-0.340,-0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
